Year,State,Organic,milk_sold,gross_value,feed_costs,marketing_costs,operating_costs,overhead,total_costs,cows_per_farm,output_per_cow
2005,Minnesota,1,20.88,23.17,10.11,0.43,14.3,16.31,30.61,59.0,13058.0
2005,New York,1,24.03,26.87,13.08,0.24,16.63,21.37,38.0,53.0,10956.0
2005,Pennsylvania,1,24.23,26.85,13.23,0.31,17.1,14.61,31.71,46.0,12177.0
2005,Vermont,1,24.23,26.87,13.61,0.24,17.62,18.88,36.5,62.0,11982.0
2005,Wisconsin,1,21.19,23.63,13.47,0.22,17.11,14.95,32.07,65.0,13101.0
2010,Minnesota,1,25.17,27.81,14.01,0.25,17.889999999999997,21.99,39.88,36.0,10542.0
2010,New York,1,24.29,27.22,11.58,0.39,16.389999999999997,18.1,34.489999999999995,73.0,12880.0
2010,Pennsylvania,1,28.37,30.92,14.05,0.23,18.81,20.52,39.33,72.0,12247.0
2010,Vermont,1,25.97,28.61,15.88,0.23,21.05,22.45,43.5,60.0,12145.0
2010,Wisconsin,1,27.9,30.89,14.75,0.19,19.85,21.15,41.0,56.0,12940.0
2016,Minnesota,1,34.87,37.98,12.93,0.2,18.56,16.47,35.03,89.0,13376.0
2016,New York,1,38.09,40.81,23.65,0.1,28.56000000000001,18.06,46.620000000000005,62.0,12223.0
2016,Pennsylvania,1,30.23,32.37,13.12,0.22,17.509999999999998,20.35,37.86,37.0,13178.0
2016,Vermont,1,32.88,35.46000000000001,15.91,0.25,20.0,17.580000000000002,37.58,49.0,14543.0
2016,Wisconsin,1,36.72,38.58,15.52,0.37,22.640000000000004,18.17,40.81,63.0,14211.0
2005,Minnesota,0,13.97,15.62,8.159999999999998,0.28,10.239999999999998,3.88,14.119999999999996,988.0,19987.0
2005,New York,0,18.0,19.64,9.06,0.18,12.419999999999998,6.42,18.84,1013.0,17572.0
2005,Pennsylvania,0,16.94,18.37,7.590000000000001,0.7,11.06,7.419999999999999,18.48,273.0,17294.0
2005,Vermont,0,14.74,16.490000000000002,8.91,0.25,11.93,9.010000000000002,20.940000000000005,133.0,17949.0
2005,Wisconsin,0,15.39,17.48,7.579999999999999,0.29,11.23,9.57,20.8,127.0,18389.0
2010,Minnesota,0,14.21,16.040000000000003,9.21,0.28,11.459999999999996,4.56,16.019999999999996,999.0,22569.0
2010,New York,0,20.48,22.750000000000004,11.69,0.15,14.250000000000002,8.200000000000001,22.450000000000003,905.0,18071.0
2010,Pennsylvania,0,18.53,20.34,9.79,0.2,12.649999999999997,9.87,22.52,188.0,15518.0
2010,Vermont,0,14.83,16.4,8.13,0.26,10.140000000000002,3.3600000000000003,13.500000000000004,1110.0,22085.0
2010,Wisconsin,0,16.06,18.34,10.64,0.18,14.760000000000002,13.1,27.86,80.0,18082.0
2016,Minnesota,0,15.23,17.41,8.86,0.24,11.219999999999995,5.659999999999999,16.879999999999995,1746.0,21703.0
2016,New York,0,16.89,20.44,11.28,0.14,15.85,9.47,25.32,177.0,20068.0
2016,Pennsylvania,0,15.73,18.0,9.97,0.12,13.469999999999995,8.85,22.319999999999997,144.0,20920.0
2016,Vermont,0,16.24,18.15,8.62,0.13,11.82,8.3,20.12,246.0,23086.0
2016,Wisconsin,0,16.8,18.82,9.589999999999998,0.18,12.769999999999996,7.989999999999999,20.759999999999994,139.0,19561.0
